=== PER FRAME DETECTION RESULTS ===
frame_idx,fps,latency_ms,num_objects,track_id,class_name,threat_score,threat_level,speed_mps,proximity_m
168,3.06,248.51,1,13,harbor,0.0302,LOW,7.1,496.21
169,3.05,343.39,1,13,harbor,0.0304,LOW,7.2,496.13
170,3.08,218.65,1,13,harbor,0.0306,LOW,7.28,496.09
171,3.1,218.1,1,13,harbor,0.0306,LOW,7.25,496.06
172,3.15,216.52,1,13,harbor,0.0306,LOW,7.28,496.02
173,3.21,223.75,1,13,harbor,0.0307,LOW,7.32,495.99
174,3.28,243.58,1,13,harbor,0.0308,LOW,7.34,495.95
175,3.3,219.73,1,13,harbor,0.0308,LOW,7.37,495.91
176,3.33,220.77,1,13,harbor,0.0309,LOW,7.39,495.88
177,3.33,214.05,1,13,harbor,0.031,LOW,7.41,495.84
178,3.35,214.54,1,13,harbor,0.0308,LOW,7.31,495.8
179,3.39,216.91,1,13,harbor,0.0308,LOW,7.33,495.77
180,3.43,214.85,1,13,harbor,0.0308,LOW,7.3,495.73
181,3.48,218.67,1,13,harbor,0.0308,LOW,7.33,495.69
182,3.51,235.49,1,13,harbor,0.0309,LOW,7.35,495.66
183,3.56,251.37,1,13,harbor,0.0309,LOW,7.37,495.62
184,3.57,229.28,1,13,harbor,0.0309,LOW,7.35,495.58
185,3.93,226.65,1,13,harbor,0.0309,LOW,7.36,495.54
186,4.0,235.56,1,13,harbor,0.031,LOW,7.37,495.5
187,4.01,214.56,1,13,harbor,0.031,LOW,7.38,495.47
188,4.02,223.24,1,13,harbor,0.031,LOW,7.39,495.43
189,4.08,217.55,1,13,harbor,0.0311,LOW,7.41,495.39
190,4.14,220.46,1,13,harbor,0.0311,LOW,7.42,495.35
191,4.15,246.33,1,13,harbor,0.031,LOW,7.35,495.31
192,4.21,230.15,1,13,harbor,0.031,LOW,7.36,495.27
193,4.28,217.2,1,13,harbor,0.031,LOW,7.36,495.23
194,4.3,219.87,1,13,harbor,0.031,LOW,7.37,495.19
